m/z,Intensity,Relative
635.4487,31756150,35.94
636.452,4365499.5,4.94
637.4558,387376.9,0.44
637.5888,182293.1,0.21
638.4995,275599.7,0.31
638.584,748806.3,0.85
639.5567,239341.8,0.27
639.5875,206240.6,0.23
640.2721,349474.4,0.4
640.5149,594137.5,0.67
641.5101,496509.6,0.56
641.5182,214132.9,0.24
641.5724,475430.9,0.54
642.4866,548442.4,0.62
642.5133,235929.6,0.27
642.5218,331946.3,0.38
642.5309,331129.2,0.37
643.5166,329132.6,0.37
643.525,471091.9,0.53
644.5023,414372.3,0.47
644.5287,192890.4,0.22
644.5986,1658392.4,1.88
645.532,233982.5,0.26
645.6018,712492.4,0.81
646.4452,2921447.3,3.31
646.6056,343058.2,0.39
646.6143,3779194.5,4.28
647.4485,1010523.6,1.14
647.6175,1961355.5,2.22
647.6711,425678.2,0.48
648.4244,252651.4,0.29
648.4601,245112,0.28
648.621,1313394.4,1.49
648.6299,2217266,2.51
649.6245,512327.6,0.58
649.6332,1175623.9,1.33
650.6276,457797.3,0.52
650.6365,894121.4,1.01
651.6308,239379.3,0.27
651.64,330809.5,0.37
652.5283,204938.9,0.23
652.6433,402543.5,0.46
653.5836,218299.5,0.25
654.5593,287773.7,0.33
654.579,571607.2,0.65
655.5384,295713.9,0.33
656.56,271139.6,0.31
656.5752,485590.4,0.55
658.5176,184644.9,0.21
659.5136,278631.5,0.32
661.6867,700879.1,0.79
662.4402,993790.5,1.12
662.4671,188671.5,0.21
662.4765,10048743,11.37
662.6899,294385.3,0.33
663.4434,288504.9,0.33
663.4798,3648560.5,4.13
664.4558,10128845,11.46
664.4833,694866.1,0.79
665.4272,292335.8,0.33
665.4591,3436793.5,3.89
666.4351,902769.1,1.02
666.4625,425979.9,0.48
666.5314,262470.1,0.3
668.5463,205264.8,0.23
669.5414,242412.6,0.27
670.5625,260057.6,0.29
672.4972,1124884.4,1.27
673.4813,457174.3,0.52
673.5005,474374.3,0.54
674.4758,342410.9,0.39
674.4847,182563.9,0.21
674.504,486087.1,0.55
675.5073,518667.7,0.59
675.7023,296691.7,0.34
676.4558,622006.9,0.7
676.4918,1559383,1.76
677.4953,640264.9,0.72
677.5138,360964,0.41
678.4713,1111334.1,1.26
678.4902,184958.6,0.21
678.4982,397883.6,0.45
679.4748,318019.4,0.36
679.5024,201474.8,0.23
680.5753,645491.4,0.73
681.5786,388476,0.44
681.6149,265163.3,0.3
682.591,1555825.9,1.76
683.5943,953416.5,1.08
684.5881,628579.6,0.71
684.5977,569271.2,0.64
684.6066,946901,1.07
685.5289,453525.3,0.51
685.5915,257431.3,0.29
685.6099,328770.3,0.37
686.5133,187648.1,0.21
686.6039,531820.4,0.6
686.6133,339851.1,0.38
687.5446,6547603.5,7.41
688.4921,281182.6,0.32
688.5478,2800822.8,3.17
689.5513,1850329,2.09
689.5601,383419.3,0.43
689.718,326193.6,0.37
690.5075,267442.3,0.3
690.5548,634359.9,0.72
691.5025,300959.3,0.34
691.5579,843951.1,0.96
692.5056,183361.7,0.21
692.5612,240262.6,0.27
693.5089,259192.4,0.29
693.5177,277873,0.31
693.5644,234184.4,0.27
693.615,484010.2,0.55
694.4664,2486000.3,2.81
694.618,200572.5,0.23
695.4698,763360.9,0.86
695.5157,197936.4,0.22
695.6307,217380.8,0.25
698.4717,181491,0.21
698.5129,1489632.9,1.69
699.4793,223552.2,0.25
699.497,363215.2,0.41
699.5163,562692.1,0.64
700.5286,4685005,5.3
701.513,481963.3,0.55
701.5238,480292,0.54
701.5318,1970306.5,2.23
701.5604,340798.1,0.39
702.489,215470.1,0.24
702.5073,474537.4,0.54
702.5264,316121.6,0.36
702.5353,1037242.8,1.17
702.5441,688155.1,0.78
703.4279,300802.8,0.34
703.5031,1008265.4,1.14
703.5388,1285940.1,1.46
703.7335,523767.4,0.59
704.5063,380986.9,0.43
704.523,482237.8,0.55
704.5421,815066.6,0.92
704.5507,236826.3,0.27
704.5777,569191,0.64
704.737,208063.3,0.24
705.5176,247751.3,0.28
705.5374,269798,0.31
705.5453,598453.1,0.68
705.5543,411226.7,0.47
705.5812,201599.3,0.23
706.4665,2929403.3,3.32
706.5213,187090.9,0.21
706.5486,380390.6,0.43
706.5574,221202,0.25
706.5843,235394.1,0.27
707.4697,1112352.3,1.26
707.5242,228894.2,0.26
707.533,186168.3,0.21
707.5523,260923.5,0.3
707.5609,251230.4,0.28
708.4823,410195.2,0.46
708.4973,492850,0.56
709.61,274541.9,0.31
710.4981,206036.2,0.23
710.513,260627.3,0.29
711.4789,263970.8,0.3
712.4689,1933634.9,2.19
712.5289,219539.6,0.25
713.4722,745088.1,0.84
714.4661,616009.7,0.7
714.508,752769.9,0.85
714.5442,287046.2,0.32
715.4959,175086.9,0.2
715.5107,271256.8,0.31
715.5759,945716.9,1.07
716.5009,187898.2,0.21
716.515,519076.4,0.59
716.5235,2200250.3,2.49
716.5794,367344.6,0.42
717.5179,1047347.7,1.19
717.5268,1085206.6,1.23
718.5214,521625.4,0.59
718.5302,1449541.8,1.64
718.5385,560568.1,0.63
719.4981,1600984.4,1.81
719.5248,782830.4,0.89
719.5336,2948072,3.34
720.4972,8279822,9.37
720.537,1916393.5,2.17
721.5005,3627769.8,4.11
721.5402,2163896.3,2.45
721.5487,925681.9,1.05
722.4981,8288293,9.38
722.5129,37454916,42.39
722.5437,1206844.1,1.37
722.5523,659127.8,0.75
723.4931,15704761,17.77
723.5162,16842138,19.06
723.547,1274752.9,1.44
723.5557,701158.4,0.79
724.4963,5518929.5,6.25
724.5197,6044904.5,6.84
724.5283,5700497,6.45
724.5504,725704.8,0.82
