SPECTRUM - MS,,,,,,
20230108_control1_Recal.raw,,,,,,
FTMS - p ESI Full ms [450.00-950.00],,,,,,
Scan #: 162-181,,,,,,
RT: 4.33-4.84,,,,,,
AV: 20,,do not copy this header--only copy rows 8-1008,,,,
,,,,,,
m/z,Intensity,Relative,Theo. Mass,Delta (mmu),RDB equiv.,Composition
684.6066,946901,1.07,684.5779,28.74,-1,C34 [13]C3 H80 O7 N P 
685.5289,453525.3,0.51,685.5269,2,2,C28 [13]C8 H72 O8 N P 
685.5915,257431.3,0.29,685.5812,10.33,-1,C33 [13]C4 H80 O7 N P 
685.6099,328770.3,0.37,685.5812,28.71,-1,C33 [13]C4 H80 O7 N P 
686.5133,187648.1,0.21,686.513,0.24,3.5,C38 H73 O7 N P 
686.6039,531820.4,0.6,686.5846,19.36,-1,C32 [13]C5 H80 O7 N P 
686.6133,339851.1,0.38,686.5846,28.77,-1,C32 [13]C5 H80 O7 N P 
687.5446,6547603.5,7.41,687.5426,1.97,1,C28 [13]C8 H74 O8 N P 
688.4921,281182.6,0.32,688.4923,-0.17,3.5,C37 H71 O8 N P 
688.5478,2800822.8,3.17,688.5459,1.9,1,C27 [13]C9 H74 O8 N P 
689.5513,1850329,2.09,689.5493,1.96,1,C26 [13]C10 H74 O8 N P 
689.5601,383419.3,0.43,689.5582,1.89,0,C28 [13]C8 H76 O8 N P 
689.718,326193.6,0.37,689.5946,123.41,-1,C29 [13]C8 H80 O7 N P 
690.5075,267442.3,0.3,690.5079,-0.43,2.5,C37 H73 O8 N P 
690.5548,634359.9,0.72,690.5571,-2.36,0.5,C26 [13]C10 H75 O8 N P 
691.5025,300959.3,0.34,691.5023,0.12,3.5,C34 [13]C3 H71 O8 N P 
691.5579,843951.1,0.96,691.5521,5.73,1,C38 H78 O7 N P 
692.5056,183361.7,0.21,692.5057,-0.13,3.5,C33 [13]C4 H71 O8 N P 
692.5612,240262.6,0.27,692.56,1.28,0.5,C38 H79 O7 N P 
693.5089,259192.4,0.29,693.5091,-0.13,3.5,C32 [13]C5 H71 O8 N P 
693.5177,277873,0.31,693.518,-0.25,2.5,C34 [13]C3 H73 O8 N P 
693.5644,234184.4,0.27,693.5633,1.1,0.5,C37 [13]C H79 O7 N P 
693.615,484010.2,0.55,693.5806,34.36,-1,C26 [13]C10 H78 O8 N P 
694.4664,2486000.3,2.81,694.4683,-1.86,8,C36 [13]C3 H66 O7 N P 
694.618,200572.5,0.23,694.5756,42.42,-0.5,C38 H81 O7 N P 
695.4698,763360.9,0.86,695.4717,-1.82,8,C35 [13]C4 H66 O7 N P 
695.5157,197936.4,0.22,695.5158,-0.03,3.5,C30 [13]C7 H71 O8 N P 
695.6307,217380.8,0.25,695.5834,47.28,-1,C38 H82 O7 N P 
698.4717,181491,0.21,698.4722,-0.44,6,C37 [13]C H68 O8 N P 
698.5129,1489632.9,1.69,698.513,-0.14,4.5,C39 H73 O7 N P 
699.4793,223552.2,0.25,699.48,-0.67,5.5,C37 [13]C H69 O8 N P 
699.497,363215.2,0.41,699.4985,-1.49,6.5,C34 [13]C5 H69 O7 N P 
699.5163,562692.1,0.64,699.5164,-0.12,4.5,C38 [13]C H73 O7 N P 
700.5286,4685005,5.3,700.5287,-0.07,3.5,C39 H75 O7 N P 
701.513,481963.3,0.55,701.5141,-1.15,5.5,C34 [13]C5 H71 O7 N P 
701.5238,480292,0.54,701.5231,0.75,4.5,C36 [13]C3 H73 O7 N P 
701.5318,1970306.5,2.23,701.532,-0.27,3.5,C38 [13]C H75 O7 N P 
701.5604,340798.1,0.39,701.5582,2.14,1,C29 [13]C8 H76 O8 N P 
702.489,215470.1,0.24,702.49,-1,5.5,C34 [13]C4 H69 O8 N P 
702.5073,474537.4,0.54,702.5079,-0.65,3.5,C38 H73 O8 N P 
702.5264,316121.6,0.36,702.5264,-0.05,4.5,C35 [13]C4 H73 O7 N P 
702.5353,1037242.8,1.17,702.5354,-0.12,3.5,C37 [13]C2 H75 O7 N P 
702.5441,688155.1,0.78,702.5443,-0.22,2.5,C39 H77 O7 N P 
703.4279,300802.8,0.34,703.4269,0.9,12.5,C33 [13]C7 H59 O7 N P 
703.5031,1008265.4,1.14,703.5023,0.76,4.5,C35 [13]C3 H71 O8 N P 
703.5388,1285940.1,1.46,703.5387,0.06,3.5,C36 [13]C3 H75 O7 N P 
703.7335,523767.4,0.59,703.6103,123.25,-1,C30 [13]C8 H82 O7 N P 
704.5063,380986.9,0.43,704.5057,0.58,4.5,C34 [13]C4 H71 O8 N P 
704.523,482237.8,0.55,704.5236,-0.62,2.5,C38 H75 O8 N P 
704.5421,815066.6,0.92,704.5421,0.02,3.5,C35 [13]C4 H75 O7 N P 
704.5507,236826.3,0.27,704.551,-0.31,2.5,C37 [13]C2 H77 O7 N P 
704.5777,569191,0.64,704.5772,0.41,0,C28 [13]C9 H78 O8 N P 
704.737,208063.3,0.24,704.6136,123.41,-1,C29 [13]C9 H82 O7 N P 
705.5176,247751.3,0.28,705.518,-0.4,3.5,C35 [13]C3 H73 O8 N P 
705.5374,269798,0.31,705.5365,0.87,4.5,C32 [13]C7 H73 O7 N P 
705.5453,598453.1,0.68,705.5454,-0.16,3.5,C34 [13]C5 H75 O7 N P 
705.5543,411226.7,0.47,705.5544,-0.08,2.5,C36 [13]C3 H77 O7 N P 
705.5812,201599.3,0.23,705.5806,0.57,0,C27 [13]C10 H78 O8 N P 
706.4665,2929403.3,3.32,706.4683,-1.83,9,C37 [13]C3 H66 O7 N P 
706.5213,187090.9,0.21,706.5213,-0.05,3.5,C34 [13]C4 H73 O8 N P 
706.5486,380390.6,0.43,706.5488,-0.2,3.5,C33 [13]C6 H75 O7 N P 
706.5574,221202,0.25,706.5577,-0.28,2.5,C35 [13]C4 H77 O7 N P 
706.5843,235394.1,0.27,706.5884,-4.17,-0.5,C27 [13]C10 H79 O8 N P 
707.4697,1112352.3,1.26,707.4717,-1.98,9,C36 [13]C4 H66 O7 N P 
707.5242,228894.2,0.26,707.5247,-0.47,3.5,C33 [13]C5 H73 O8 N P 
707.533,186168.3,0.21,707.5336,-0.66,2.5,C35 [13]C3 H75 O8 N P 
707.5523,260923.5,0.3,707.5521,0.16,3.5,C32 [13]C7 H75 O7 N P 
707.5609,251230.4,0.28,707.5611,-0.2,2.5,C34 [13]C5 H77 O7 N P 
708.4823,410195.2,0.46,708.484,-1.68,8,C37 [13]C3 H68 O7 N P 
708.4973,492850,0.56,708.4974,-0.07,6.5,C40 H71 O7 N P 
709.61,274541.9,0.31,709.5991,10.89,-1,C39 H84 O7 N P 
710.4981,206036.2,0.23,710.4996,-1.51,7,C37 [13]C3 H70 O7 N P 
710.513,260627.3,0.29,710.513,0,5.5,C40 H73 O7 N P 
711.4789,263970.8,0.3,711.48,-1.05,6.5,C38 [13]C H69 O8 N P 
712.4689,1933634.9,2.19,712.4699,-0.99,8,C34 [13]C5 H66 O8 N P 
712.5289,219539.6,0.25,712.5287,0.19,4.5,C40 H75 O7 N P 
713.4722,745088.1,0.84,713.4733,-1.05,8,C33 [13]C6 H66 O8 N P 
714.4661,616009.7,0.7,714.4677,-1.56,9,C30 [13]C9 H64 O8 N P 
714.508,752769.9,0.85,714.5079,0.04,4.5,C39 H73 O8 N P 
714.5442,287046.2,0.32,714.5443,-0.08,3.5,C40 H77 O7 N P 
715.4959,175086.9,0.2,715.4979,-1.93,6,C35 [13]C4 H70 O8 N P 
715.5107,271256.8,0.31,715.5113,-0.57,4.5,C38 [13]C H73 O8 N P 
715.5759,945716.9,1.07,715.5739,1.99,1,C30 [13]C8 H78 O8 N P 
716.5009,187898.2,0.21,716.5012,-0.3,6,C34 [13]C5 H70 O8 N P 
716.515,519076.4,0.59,716.5153,-0.24,7.5,C30 [13]C10 H69 O7 N P 
716.5235,2200250.3,2.49,716.5236,-0.1,3.5,C39 H75 O8 N P 
716.5794,367344.6,0.42,716.5772,2.15,1,C29 [13]C9 H78 O8 N P 
717.5179,1047347.7,1.19,717.518,-0.07,4.5,C36 [13]C3 H73 O8 N P 
717.5268,1085206.6,1.23,717.5269,-0.15,3.5,C38 [13]C H75 O8 N P 
718.5214,521625.4,0.59,718.5213,0.07,4.5,C35 [13]C4 H73 O8 N P 
718.5302,1449541.8,1.64,718.5303,-0.11,3.5,C37 [13]C2 H75 O8 N P 
718.5385,560568.1,0.63,718.5392,-0.73,2.5,C39 H77 O8 N P 
719.4981,1600984.4,1.81,719.5024,-4.26,7,C29 [13]C10 H68 O8 N P 
719.5248,782830.4,0.89,719.5247,0.09,4.5,C34 [13]C5 H73 O8 N P 
719.5336,2948072,3.34,719.5336,-0.07,3.5,C36 [13]C3 H75 O8 N P 
720.4972,8279822,9.37,720.4974,-0.14,7.5,C41 H71 O7 N P 
720.537,1916393.5,2.17,720.537,-0.04,3.5,C35 [13]C4 H75 O8 N P 
721.5005,3627769.8,4.11,721.5007,-0.18,7.5,C40 [13]C H71 O7 N P 
721.5402,2163896.3,2.45,721.5404,-0.17,3.5,C34 [13]C5 H75 O8 N P 
721.5487,925681.9,1.05,721.5493,-0.56,2.5,C36 [13]C3 H77 O8 N P 
722.4981,8288293,9.38,722.4996,-1.55,8,C38 [13]C3 H70 O7 N P 
722.5129,37454916,42.39,722.513,-0.12,6.5,C41 H73 O7 N P 
722.5437,1206844.1,1.37,722.5437,-0.01,3.5,C33 [13]C6 H75 O8 N P 
722.5523,659127.8,0.75,722.5526,-0.31,2.5,C35 [13]C4 H77 O8 N P 
723.4931,15704761,17.77,723.494,-0.88,9,C35 [13]C6 H68 O7 N P 
723.5162,16842138,19.06,723.5164,-0.22,6.5,C40 [13]C H73 O7 N P 
723.547,1274752.9,1.44,723.5471,-0.04,3.5,C32 [13]C7 H75 O8 N P 
723.5557,701158.4,0.79,723.556,-0.31,2.5,C34 [13]C5 H77 O8 N P 
724.4963,5518929.5,6.25,724.4974,-1.1,9,C34 [13]C7 H68 O7 N P 
724.5197,6044904.5,6.84,724.5197,-0.04,6.5,C39 [13]C2 H73 O7 N P 
724.5283,5700497,6.45,724.5287,-0.39,5.5,C41 H75 O7 N P 
724.5504,725704.8,0.82,724.5504,0.01,3.5,C31 [13]C8 H75 O8 N P 
724.5587,310533.8,0.35,724.5594,-0.62,2.5,C33 [13]C6 H77 O8 N P 
725.4997,879888.9,1,725.5001,-0.37,6,C40 H72 O8 N P 
725.5138,961633.4,1.09,725.5141,-0.3,7.5,C36 [13]C5 H71 O7 N P 
725.523,9365029,10.6,725.5231,-0.07,6.5,C38 [13]C3 H73 O7 N P 
725.5538,727681.3,0.82,725.5538,-0.02,3.5,C30 [13]C9 H75 O8 N P 
725.562,374896.5,0.42,725.5627,-0.71,2.5,C32 [13]C7 H77 O8 N P 
726.5074,461847.2,0.52,726.5079,-0.56,5.5,C40 H73 O8 N P 
726.5167,371542.6,0.42,726.5175,-0.76,7.5,C35 [13]C6 H71 O7 N P 
726.5263,4380410,4.96,726.5264,-0.12,6.5,C37 [13]C4 H73 O7 N P 
726.5441,3499416.3,3.96,726.5443,-0.24,4.5,C41 H77 O7 N P 
726.557,341436.3,0.39,726.5571,-0.14,3.5,C29 [13]C10 H75 O8 N P 
726.5806,514862.3,0.58,726.5795,1.15,1,C34 [13]C5 H80 O8 N P 
727.5298,3336737.8,3.78,727.5298,-0.03,6.5,C36 [13]C5 H73 O7 N P 
727.5384,2164699.5,2.45,727.5387,-0.34,5.5,C38 [13]C3 H75 O7 N P 
727.547,1456663.9,1.65,727.5477,-0.67,4.5,C40 [13]C H77 O7 N P 
727.5603,310738.9,0.35,727.565,-4.61,3,C29 [13]C10 H76 O8 N P 
727.584,204966,0.23,727.5828,1.16,1,C33 [13]C6 H80 O8 N P 
728.5231,502129.6,0.57,728.5236,-0.43,4.5,C40 H75 O8 N P 
728.5331,1514502.8,1.71,728.5331,-0.03,6.5,C35 [13]C6 H73 O7 N P 
728.5416,1051639.5,1.19,728.5421,-0.43,5.5,C37 [13]C4 H75 O7 N P 
728.5508,713898.6,0.81,728.551,-0.27,4.5,C39 [13]C2 H77 O7 N P 
728.5597,1958914.5,2.22,728.56,-0.31,3.5,C41 H79 O7 N P 
728.5712,608188.8,0.69,728.5728,-1.62,2.5,C29 [13]C10 H77 O8 N P 
728.5964,193579.3,0.22,728.5951,1.23,0,C34 [13]C5 H82 O8 N P 
729.5269,337791.8,0.38,729.5269,-0.05,4.5,C39 [13]C H75 O8 N P 
729.5364,1346660.9,1.52,729.5365,-0.05,6.5,C34 [13]C7 H73 O7 N P 
729.5453,965853.9,1.09,729.5454,-0.16,5.5,C36 [13]C5 H75 O7 N P 
729.554,874202.1,0.99,729.5544,-0.35,4.5,C38 [13]C3 H77 O7 N P 
729.5624,878430.9,0.99,729.5633,-0.9,3.5,C40 [13]C H79 O7 N P 
729.574,259335.6,0.29,729.5678,6.2,3,C41 H80 O7 N P 
730.5393,1332281.8,1.51,730.5392,0.08,3.5,C40 H77 O8 N P 
730.5575,371253.3,0.42,730.5577,-0.23,4.5,C37 [13]C4 H77 O7 N P 
730.566,334268.3,0.38,730.5667,-0.66,3.5,C39 [13]C2 H79 O7 N P 
730.5749,268603.6,0.3,730.5756,-0.75,2.5,C41 H81 O7 N P 
731.5334,306862.9,0.35,731.5336,-0.22,4.5,C37 [13]C3 H75 O8 N P 
731.5427,798215.3,0.9,731.5426,0.12,3.5,C39 [13]C H77 O8 N P 
731.5514,281879.1,0.32,731.5521,-0.76,5.5,C34 [13]C7 H75 O7 N P 
731.561,353336,0.4,731.5611,-0.11,4.5,C36 [13]C5 H77 O7 N P 
731.5696,561401.8,0.64,731.57,-0.47,3.5,C38 [13]C3 H79 O7 N P 
731.7649,258313.4,0.29,731.6416,123.32,-1,C32 [13]C8 H86 O7 N P 
732.4124,843123.1,0.95,732.4163,-3.9,14.5,C31 [13]C10 H57 O8 N P 
732.4431,375267.1,0.42,732.4431,0.01,11.5,C37 [13]C4 H63 O8 N P 
732.4974,401054.5,0.45,732.4974,0.03,8.5,C42 H71 O7 N P 
732.5458,437822.3,0.5,732.5459,-0.09,3.5,C38 [13]C2 H77 O8 N P 
732.5542,284867.6,0.32,732.5549,-0.65,2.5,C40 H79 O8 N P 
732.5731,255794.3,0.29,732.5734,-0.26,3.5,C37 [13]C4 H79 O7 N P 
733.4159,197075.4,0.22,733.4113,4.59,15,C43 H60 O7 N P 
733.5495,955017.5,1.08,733.5493,0.2,3.5,C37 [13]C3 H77 O8 N P 
733.5688,210896.3,0.24,733.5678,1.01,4.5,C34 [13]C7 H77 O7 N P 
734.5128,1983537.6,2.24,734.513,-0.17,7.5,C42 H73 O7 N P 
734.5521,428654,0.49,734.5526,-0.52,3.5,C36 [13]C4 H77 O8 N P 
735.5158,833323.1,0.94,735.5164,-0.56,7.5,C41 [13]C H73 O7 N P 
735.5557,342097,0.39,735.556,-0.26,3.5,C35 [13]C5 H77 O8 N P 
736.4921,2322248,2.63,736.4923,-0.14,7.5,C41 H71 O8 N P 
736.5136,662539.6,0.75,736.5153,-1.69,8,C39 [13]C3 H72 O7 N P 
736.5284,2709293.5,3.07,736.5287,-0.23,6.5,C42 H75 O7 N P 
737.4953,1004576.6,1.14,737.4956,-0.29,7.5,C40 [13]C H71 O8 N P 
737.5235,419890,0.48,737.5231,0.47,7.5,C39 [13]C3 H73 O7 N P 
737.531,1168115.3,1.32,737.532,-1.05,6.5,C41 [13]C H75 O7 N P 
737.538,1038019.7,1.17,737.5365,1.47,6,C42 H76 O7 N P 
738.4978,432912,0.49,738.499,-1.16,7.5,C39 [13]C2 H71 O8 N P 
738.5076,1022560,1.16,738.5079,-0.31,6.5,C41 H73 O8 N P 
738.5345,273398.4,0.31,738.5354,-0.91,6.5,C40 [13]C2 H75 O7 N P 
738.546,248974.7,0.28,738.5443,1.69,5.5,C42 H77 O7 N P 
739.4877,358252.1,0.41,739.4889,-1.21,9,C35 [13]C6 H68 O8 N P 
739.5024,473117.3,0.54,739.5023,0.03,7.5,C38 [13]C3 H71 O8 N P 
739.5106,508509.2,0.58,739.5113,-0.67,6.5,C40 [13]C H73 O8 N P 
739.5387,247903.6,0.28,739.5387,-0.08,6.5,C39 [13]C3 H75 O7 N P 
740.5059,233028.6,0.26,740.5057,0.18,7.5,C37 [13]C4 H71 O8 N P 
740.5143,456555.5,0.52,740.5146,-0.32,6.5,C39 [13]C2 H73 O8 N P 
740.5234,583848.6,0.66,740.5236,-0.2,5.5,C41 H75 O8 N P 
741.5178,1346765.1,1.52,741.518,-0.16,6.5,C38 [13]C3 H73 O8 N P 
742.5212,758611.3,0.86,742.5213,-0.18,6.5,C37 [13]C4 H73 O8 N P 
742.5391,2070102.8,2.34,742.5392,-0.18,4.5,C41 H77 O8 N P 
743.5246,717750.1,0.81,743.5247,-0.11,6.5,C36 [13]C5 H73 O8 N P 
743.5337,624998.9,0.71,743.5336,0.02,5.5,C38 [13]C3 H75 O8 N P 
743.5422,918803.9,1.04,743.5426,-0.38,4.5,C40 [13]C H77 O8 N P 
743.6073,199033.4,0.23,743.6052,2.08,1,C32 [13]C8 H82 O8 N P 
744.5283,276852.8,0.31,744.5281,0.2,6.5,C35 [13]C6 H73 O8 N P 
744.5472,890512.4,1.01,744.5466,0.61,7.5,C32 [13]C10 H73 O7 N P 
744.5547,2871818.8,3.25,744.5549,-0.18,3.5,C41 H79 O8 N P 
744.5661,889330,1.01,744.5644,1.64,5.5,C36 [13]C6 H77 O7 N P 
745.5023,1069348.9,1.21,745.5007,1.57,9.5,C42 [13]C H71 O7 N P 
745.5311,191690.1,0.22,745.5314,-0.29,6.5,C34 [13]C7 H73 O8 N P 
745.5494,2292524,2.59,745.5493,0.09,4.5,C38 [13]C3 H77 O8 N P 
745.5574,1455687.3,1.65,745.5582,-0.84,3.5,C40 [13]C H79 O8 N P 
745.5692,344810,0.39,745.5678,1.36,5.5,C35 [13]C7 H77 O7 N P 
745.7806,407686.3,0.46,745.6572,123.41,-1,C33 [13]C8 H88 O7 N P 
746.5129,13803758,15.62,746.513,-0.07,8.5,C43 H73 O7 N P 
746.5343,322785.7,0.37,746.5348,-0.5,6.5,C33 [13]C8 H73 O8 N P 
746.5522,1353995.6,1.53,746.5526,-0.47,4.5,C37 [13]C4 H77 O8 N P 
746.5614,1361602.5,1.54,746.5616,-0.17,3.5,C39 [13]C2 H79 O8 N P 
746.5725,180884.8,0.2,746.5712,1.32,5.5,C34 [13]C8 H77 O7 N P 
747.5164,6851187.5,7.75,747.5164,-0.02,8.5,C42 [13]C H73 O7 N P 
747.5379,191818,0.22,747.5381,-0.23,6.5,C32 [13]C9 H73 O8 N P 
747.5565,1248429.1,1.41,747.556,0.47,4.5,C36 [13]C5 H77 O8 N P 
747.5653,6541757.5,7.4,747.5649,0.31,3.5,C38 [13]C3 H79 O8 N P 
748.5285,37376260,42.3,748.5287,-0.16,7.5,C43 H75 O7 N P 
748.5611,8200752.5,9.28,748.5594,1.7,4.5,C35 [13]C6 H77 O8 N P 
749.5318,17589622,19.91,749.532,-0.25,7.5,C42 [13]C H75 O7 N P 
749.5647,3781128.8,4.28,749.5627,2.01,4.5,C34 [13]C7 H77 O8 N P 
750.5076,1013189.1,1.15,750.5079,-0.28,7.5,C42 H73 O8 N P 
750.5441,30100600,34.06,750.5443,-0.26,6.5,C43 H77 O7 N P 
750.5679,2267917.3,2.57,750.5661,1.79,4.5,C33 [13]C8 H77 O8 N P 
751.5106,449090.7,0.51,751.5113,-0.7,7.5,C41 [13]C H73 O8 N P 
751.539,8019242,9.07,751.5387,0.25,7.5,C40 [13]C3 H75 O7 N P 
751.5473,14420101,16.32,751.5477,-0.38,6.5,C42 [13]C H77 O7 N P 
751.5781,1300060.6,1.47,751.5784,-0.29,3.5,C34 [13]C7 H79 O8 N P 
752.5082,4059833,4.59,752.5102,-1.93,8,C39 [13]C3 H72 O8 N P 
752.5233,3181962,3.6,752.5236,-0.28,6.5,C42 H75 O8 N P 
752.5419,3390914.3,3.84,752.5421,-0.17,7.5,C39 [13]C4 H75 O7 N P 
752.5508,4547700,5.15,752.551,-0.22,6.5,C41 [13]C2 H77 O7 N P 
752.5593,4901095.5,5.55,752.56,-0.68,5.5,C43 H79 O7 N P 
752.5749,885466.3,1,752.5728,2.11,4.5,C31 [13]C10 H77 O8 N P 
753.5116,1593513.4,1.8,753.5135,-1.94,8,C38 [13]C4 H72 O8 N P 
753.5261,1353193.4,1.53,753.5269,-0.79,6.5,C41 [13]C H75 O8 N P 
753.5398,2465053.5,2.79,753.541,-1.13,8,C37 [13]C6 H74 O7 N P 
753.5541,6073376,6.87,753.5544,-0.24,6.5,C40 [13]C3 H77 O7 N P 
753.5845,634100.1,0.72,753.5851,-0.55,3.5,C32 [13]C9 H79 O8 N P 
754.394,235466.8,0.27,754.3878,6.17,18.5,C45 H57 O7 N P 
754.4875,248602.5,0.28,754.4817,5.74,11.5,C44 H69 O7 N P 
754.5025,369055.7,0.42,754.5035,-0.97,9.5,C34 [13]C8 H69 O8 N P 
754.5155,283944.4,0.32,754.5169,-1.37,8,C37 [13]C5 H72 O8 N P 
754.5295,570294.8,0.65,754.5303,-0.77,6.5,C40 [13]C2 H75 O8 N P 
754.541,1621788.3,1.84,754.5399,1.16,8.5,C35 [13]C8 H73 O7 N P 
754.5573,2579998.3,2.92,754.5577,-0.39,6.5,C39 [13]C4 H77 O7 N P 
754.5833,367121.2,0.42,754.5884,-5.11,3.5,C31 [13]C10 H79 O8 N P 
755.533,788398.3,0.89,755.5336,-0.65,6.5,C39 [13]C3 H75 O8 N P 
755.5448,1494510.3,1.69,755.5432,1.61,8.5,C34 [13]C9 H73 O7 N P 
755.561,1521511.8,1.72,755.5611,-0.11,6.5,C38 [13]C5 H77 O7 N P 
755.5695,1842911.5,2.09,755.57,-0.53,5.5,C40 [13]C3 H79 O7 N P 
755.5913,258317.8,0.29,755.5963,-5,3,C31 [13]C10 H80 O8 N P 
756.5364,337390.6,0.38,756.537,-0.63,6.5,C38 [13]C4 H75 O8 N P 
756.5495,897051.9,1.02,756.5504,-0.89,5,C41 [13]C H78 O8 N P 
756.5642,721108.3,0.82,756.5644,-0.25,6.5,C37 [13]C6 H77 O7 N P 
756.5727,750860.5,0.85,756.5734,-0.66,5.5,C39 [13]C4 H79 O7 N P 
757.54,333435,0.38,757.5404,-0.31,6.5,C37 [13]C5 H75 O8 N P 
757.5509,783361.9,0.89,757.5493,1.64,5.5,C39 [13]C3 H77 O8 N P 
757.5678,602661.6,0.68,757.5678,0.03,6.5,C36 [13]C7 H77 O7 N P 
757.576,581416.6,0.66,757.5767,-0.75,5.5,C38 [13]C5 H79 O7 N P 
758.5127,273400.4,0.31,758.513,-0.31,9.5,C44 H73 O7 N P 
758.5539,412895.8,0.47,758.5526,1.23,5.5,C38 [13]C4 H77 O8 N P 
758.5704,502852.1,0.57,758.5705,-0.09,3.5,C42 H81 O8 N P 
759.5597,454950.2,0.51,759.5605,-0.77,5,C38 [13]C4 H78 O8 N P 
759.5724,247135.8,0.28,759.5739,-1.46,3.5,C41 [13]C H81 O8 N P 
760.5132,4029570,4.56,760.5153,-2.03,10,C41 [13]C3 H72 O7 N P 
760.5282,1375579.6,1.56,760.5287,-0.44,8.5,C44 H75 O7 N P 
760.5499,287133.5,0.32,760.5504,-0.51,6.5,C34 [13]C8 H75 O8 N P 
760.5616,265134.5,0.3,760.5594,2.21,5.5,C36 [13]C6 H77 O8 N P 
761.5165,2067840.5,2.34,761.5186,-2.06,10,C40 [13]C4 H72 O7 N P 
761.5319,543634.6,0.62,761.532,-0.08,8.5,C43 [13]C H75 O7 N P 
761.5448,382789.2,0.43,761.5493,-4.46,7,C32 [13]C10 H74 O8 N P 
761.5651,188918.2,0.21,761.5672,-2.03,5,C36 [13]C6 H78 O8 N P 
761.5808,474160.8,0.54,761.5806,0.19,3.5,C39 [13]C3 H81 O8 N P 
762.5075,897196.8,1.02,762.5079,-0.38,8.5,C43 H73 O8 N P 
762.52,1885746.6,2.13,762.522,-1.99,10,C39 [13]C5 H72 O7 N P 
762.5328,190871.5,0.22,762.5309,1.88,9,C41 [13]C3 H74 O7 N P 
762.5439,1078708,1.22,762.5443,-0.38,7.5,C44 H77 O7 N P 
762.5657,271416.1,0.31,762.5661,-0.32,5.5,C34 [13]C8 H77 O8 N P 
762.5772,291667.8,0.33,762.575,2.18,4.5,C36 [13]C6 H79 O8 N P 
762.5821,281073,0.32,762.5839,-1.88,3.5,C38 [13]C4 H81 O8 N P 
763.5106,619284.7,0.7,763.5113,-0.71,8.5,C42 [13]C H73 O8 N P 
763.5232,3369333.5,3.81,763.5253,-2.09,10,C38 [13]C6 H72 O7 N P 
763.5383,336016.9,0.38,763.5387,-0.4,8.5,C41 [13]C3 H75 O7 N P 
763.546,357290,0.4,763.5477,-1.66,7.5,C43 [13]C H77 O7 N P 
763.5605,842606.9,0.95,763.565,-4.48,6,C32 [13]C10 H76 O8 N P 
764.5228,2534207.5,2.87,764.5236,-0.78,7.5,C43 H75 O8 N P 
764.5454,344008.7,0.39,764.5466,-1.16,8,C41 [13]C3 H76 O7 N P 
764.5549,204989.1,0.23,764.5555,-0.62,7,C43 [13]C H78 O7 N P 
765.518,1533463.5,1.74,765.518,-0.02,8.5,C40 [13]C3 H73 O8 N P 
765.5303,1493998.3,1.69,765.5314,-1.07,7,C43 H76 O8 N P 
765.5687,314713.9,0.36,765.5678,0.89,6,C44 H80 O7 N P 
766.5218,752588.3,0.85,766.5213,0.48,8.5,C39 [13]C4 H73 O8 N P 
766.527,799214.4,0.9,766.5258,1.19,8,C40 [13]C3 H74 O8 N P 
766.5391,8242357,9.33,766.5392,-0.13,6.5,C43 H77 O8 N P 
767.5335,2153375.8,2.44,767.5336,-0.18,7.5,C40 [13]C3 H75 O8 N P 
767.5422,4264009.5,4.83,767.5426,-0.41,6.5,C42 [13]C H77 O8 N P 
768.5365,914579.9,1.03,768.537,-0.45,7.5,C39 [13]C4 H75 O8 N P 
768.5459,2900903.3,3.28,768.5459,0,6.5,C41 [13]C2 H77 O8 N P 
768.5542,2448179.5,2.77,768.5549,-0.68,5.5,C43 H79 O8 N P 
769.5491,5645974.5,6.39,769.5493,-0.2,6.5,C40 [13]C3 H77 O8 N P 
770.5352,246311.5,0.28,770.5348,0.39,8.5,C35 [13]C8 H73 O8 N P 
770.5525,2987133.5,3.38,770.5526,-0.18,6.5,C39 [13]C4 H77 O8 N P 
770.5692,485890.6,0.55,770.5705,-1.35,4.5,C43 H81 O8 N P 
771.5173,229879.9,0.26,771.5164,0.93,10.5,C44 [13]C H73 O7 N P 
771.5559,2201454,2.49,771.556,-0.06,6.5,C38 [13]C5 H77 O8 N P 
771.6384,330222.8,0.37,771.6365,1.87,1,C34 [13]C8 H86 O8 N P 
772.5133,460627,0.52,772.5153,-1.96,11,C42 [13]C3 H72 O7 N P 
772.5283,3847723.5,4.35,772.5287,-0.32,9.5,C45 H75 O7 N P 
772.5592,943073.7,1.07,772.5594,-0.12,6.5,C37 [13]C6 H77 O8 N P 
772.5675,752208.6,0.85,772.5683,-0.79,5.5,C39 [13]C4 H79 O8 N P 
772.586,267619.8,0.3,772.5862,-0.21,3.5,C43 H83 O8 N P 
773.5326,2842185.3,3.22,773.532,0.56,9.5,C44 [13]C H75 O7 N P 
773.5626,860644.3,0.97,773.5627,-0.14,6.5,C36 [13]C7 H77 O8 N P 
773.5713,550110.4,0.62,773.5717,-0.38,5.5,C38 [13]C5 H79 O8 N P 
773.5801,574777.9,0.65,773.5806,-0.46,4.5,C40 [13]C3 H81 O8 N P 
774.4593,1999402.4,2.26,774.4632,-3.9,14.5,C34 [13]C10 H63 O8 N P 
774.5439,5041496,5.71,774.5443,-0.37,8.5,C45 H77 O7 N P 
